mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.26366386413574217,0.015482894264515046,0.020501708984375,0.007979892979996654,,1,2,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.831081081081081,0.7959183673469388,0.8367346938775511,0.7551020408163265,0.8707482993197279,0.817916896488325,0.03936547664435553,46,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.5886883735656738,0.14947681518037023,0.03650341033935547,0.0107784013673184,,1,2,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.8243243243243243,0.8027210884353742,0.8503401360544217,0.7755102040816326,0.8639455782312925,0.8233682662254092,0.03191117083917603,24,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.7068268775939941,0.13805583787241285,0.03994717597961426,0.00962769014906929,,1,2,300,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.8175675675675675,0.7959183673469388,0.8639455782312925,0.7755102040816326,0.8639455782312925,0.8233774590917449,0.03569474819134199,23,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.20688610076904296,0.006457292886315,0.015105247497558594,0.002466488273542992,,1,5,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.8243243243243243,0.7891156462585034,0.8435374149659864,0.7687074829931972,0.8707482993197279,0.819286633572348,0.03668874682136259,41,0.9761904761904762,0.9762308998302207,0.9779286926994907,0.9643463497453311,0.9762308998302207,0.974185463659148,0.004964022960627376
0.5103677749633789,0.15468342504591187,0.02952098846435547,0.011639488780174708,,1,5,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.8243243243243243,0.7891156462585034,0.8571428571428571,0.7891156462585034,0.8707482993197279,0.8260893546607833,0.03375193894453207,14,0.9778911564625851,0.9728353140916808,0.9728353140916808,0.9711375212224108,0.9745331069609507,0.9738464825658616,0.002289726399264014
0.6535332202911377,0.04041879027956637,0.039780187606811526,0.007193587417358872,,1,5,300,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",0.8243243243243243,0.7959183673469388,0.8435374149659864,0.782312925170068,0.8707482993197279,0.8233682662254092,0.031911170839176044,24,0.9778911564625851,0.9762308998302207,0.9728353140916808,0.969439728353141,0.9728353140916808,0.9738464825658616,0.0029498894446773893
0.21632542610168456,0.016045697038555837,0.012969350814819336,0.0010595254550209731,,2,2,100,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.8378378378378378,0.8163265306122449,0.8639455782312925,0.7891156462585034,0.8503401360544217,0.83151314579886,0.02636096057831008,4,0.9574829931972789,0.9541595925297114,0.9473684210526315,0.9439728353140917,0.9524617996604414,0.9510891283508311,0.004830709551531258
0.5115981578826905,0.11448462276378403,0.024973964691162108,0.008134497350123537,,2,2,200,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.8378378378378378,0.8163265306122449,0.8639455782312925,0.782312925170068,0.8503401360544217,0.830152601581173,0.028594963027994816,6,0.9472789115646258,0.9575551782682513,0.9439728353140917,0.9473684210526315,0.9490662139219015,0.9490483120243004,0.004562463572888474
0.6775072097778321,0.12546735150637847,0.038498210906982425,0.009306139779938364,,2,2,300,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",0.8445945945945946,0.8163265306122449,0.8639455782312925,0.7755102040816326,0.8571428571428571,0.8315039529325243,0.03239392356267414,5,0.9506802721088435,0.9524617996604414,0.9473684210526315,0.9473684210526315,0.9524617996604414,0.9500681427069978,0.0022982986598025228
0.2259200096130371,0.013802278347132069,0.015613985061645509,0.008510122205141538,,2,5,100,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.8378378378378378,0.7959183673469388,0.8571428571428571,0.7687074829931972,0.8639455782312925,0.8247104247104247,0.03668487690837622,21,0.9387755102040817,0.9439728353140917,0.9473684210526315,0.9388794567062818,0.9388794567062818,0.9415751359966738,0.003512332330750409
0.45377120971679685,0.09623882628588412,0.023730993270874023,0.005460762313426506,,2,5,200,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.8243243243243243,0.8095238095238095,0.8639455782312925,0.7619047619047619,0.8639455782312925,0.8247288104430961,0.03808970067676929,18,0.9438775510204082,0.9490662139219015,0.9456706281833617,0.9388794567062818,0.9388794567062818,0.9432746613076469,0.003956813413207063
0.6359350204467773,0.05990607161790516,0.02987041473388672,0.0014033924219937952,,2,5,300,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",0.831081081081081,0.7959183673469388,0.8571428571428571,0.7755102040816326,0.8639455782312925,0.8247196175767604,0.034297198318473374,20,0.9370748299319728,0.9507640067911715,0.9422750424448217,0.9371816638370118,0.9371816638370118,0.9408954413683979,0.005319271406631361
0.18616995811462403,0.02157584103536689,0.011733293533325195,0.0015365761834300485,5,1,2,100,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.8513513513513513,0.7959183673469388,0.8435374149659864,0.7687074829931972,0.8435374149659864,0.8206104063246921,0.03255736903019646,40,0.8758503401360545,0.8811544991511036,0.8845500848896435,0.8879456706281834,0.8709677419354839,0.8800936673480937,0.006065102099625364
0.41408767700195315,0.06310331605537643,0.02485547065734863,0.007424058795898519,5,1,2,200,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.8243243243243243,0.7959183673469388,0.8435374149659864,0.7755102040816326,0.8503401360544217,0.8179260893546608,0.028393643602801357,45,0.8775510204081632,0.8794567062818336,0.8845500848896435,0.8879456706281834,0.865874363327674,0.8790755691070995,0.00755500327411959
0.6543928623199463,0.1576808866439519,0.031509685516357425,0.003777071916194036,5,1,2,300,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.8243243243243243,0.8027210884353742,0.8435374149659864,0.7755102040816326,0.8503401360544217,0.8192866335723478,0.027453931621388726,42,0.8826530612244898,0.8811544991511036,0.8777589134125636,0.8862478777589134,0.8624787775891342,0.8780586258272409,0.00825322499525186
