model,accuracy,precision,recall,f1,roc_auc,cv_mean,cv_std
KNN,0.842391304347826,0.8348623853211009,0.8921568627450981,0.8625592417061612,0.9118244858919178,0.8274131274131274,0.02156118944001211
Logistic Regression,0.8260869565217391,0.8431372549019608,0.8431372549019608,0.8431372549019608,0.8980153036824486,0.8138812281669425,0.032222044292841694
Random Forest,0.8315217391304348,0.8317757009345794,0.8725490196078431,0.8516746411483254,0.8940698230511717,0.8314947600661886,0.024271534870319987
Decision Tree,0.7663043478260869,0.7920792079207921,0.7843137254901961,0.7881773399014779,0.7641080822572931,0.7513605442176872,0.01949190310461821
