model,accuracy,precision,recall,f1,roc_auc,cv_mean,cv_std,feature_set
Logistic Regression,0.8315217391304348,0.8514851485148515,0.8431372549019608,0.8472906403940886,0.9134385461501674,0.8274131274131274,0.0347176773039439,Original features
Random Forest,0.8097826086956522,0.8316831683168316,0.8235294117647058,0.8275862068965517,0.904830224772836,0.8329012686155544,0.0360417060876149,Original features
KNN,0.8478260869565217,0.8425925925925926,0.8921568627450981,0.8666666666666667,0.9020803443328552,0.8505607648464792,0.028109710921155,Original features
Decision Tree,0.7608695652173914,0.7735849056603774,0.803921568627451,0.7884615384615384,0.7556193208990913,0.7595421952564809,0.0209360865609641,Original features
KNN,0.842391304347826,0.8348623853211009,0.8921568627450981,0.8625592417061612,0.9118244858919178,0.8274131274131274,0.02156118944001211,PCA features
Logistic Regression,0.8260869565217391,0.8431372549019608,0.8431372549019608,0.8431372549019608,0.8980153036824486,0.8138812281669425,0.032222044292841694,PCA features
Random Forest,0.8315217391304348,0.8317757009345794,0.8725490196078431,0.8516746411483254,0.8940698230511717,0.8314947600661886,0.024271534870319987,PCA features
Decision Tree,0.7663043478260869,0.7920792079207921,0.7843137254901961,0.7881773399014779,0.7641080822572931,0.7513605442176872,0.01949190310461821,PCA features
