model,accuracy,precision,recall,f1,roc_auc,cv_mean,cv_std
Random Forest,0.8260869565217391,0.8240740740740741,0.8725490196078431,0.8476190476190476,0.8928742228598756,0.8315407243978672,0.02886533680316968
Logistic Regression,0.8152173913043478,0.8269230769230769,0.8431372549019608,0.8349514563106796,0.8925155428024869,0.8043758043758042,0.04231419555127956
KNN,0.8206521739130435,0.8053097345132744,0.8921568627450981,0.8465116279069768,0.8766738402678145,0.8328828828828829,0.023385473911733227
Decision Tree,0.7608695652173914,0.7735849056603774,0.803921568627451,0.7884615384615384,0.7556193208990913,0.7595421952564809,0.020936086560964195
