feature,importance
cp_asymptomatic,1.0
trestbps,0.0
age,0.0
thalch,0.0
oldpeak,0.0
sex_female,0.0
sex_male,0.0
dataset_cleveland,0.0
dataset_hungary,0.0
dataset_switzerland,0.0
chol,0.0
dataset_va long beach,0.0
cp_atypical angina,0.0
cp_non-anginal,0.0
cp_typical angina,0.0
restecg_lv hypertrophy,0.0
restecg_normal,0.0
restecg_st-t abnormality,0.0
slope_downsloping,0.0
slope_flat,0.0
slope_upsloping,0.0
thal_fixed defect,0.0
thal_normal,0.0
thal_reversable defect,0.0
fbs,0.0
exang,0.0
ca,0.0
